myfunc1 was called
myfunc1 was called
Time: 1589886928.499284 myfunc1 was called, Time spended: 0.0
Time: 1589949152.596078 myfunc1 was called, Time spended: 0.0
Time: 1589949193.0109723 myfunc1 was called, Time spended: 0.0
Time: 1589955558.7220876 myfunc1 was called, Time spended: 0.0
Time: 1589955566.0416715 myfunc1 was called, Time spended: 0.0
Time: 1589955602.9721513 myfunc1 was called, Time spended: 0.0
Time: 1589955831.0935442 myfunc1 was called, Time spended: 0.0
myfunc2 was calledTime: 1589955868.3189292 myfunc1 was called, Time spended: 0.0
myfunc3 was calledTime: 1589956691.1983924 myfunc1 was called, Time spended: 0.0
myfunc3 was calledmyfunc4 was calledTime: 1589956727.9439769 myfunc1 was called, Time spended: 0.0
myfunc3 was called
myfunc4 was called
Time: 1589956807.413017 myfunc1 was called, Time spended: 0.0
Time: 1589956837.787083 myfunc1 was called, Time spended: 0.0
Time: 1589956837.78808 myfunc3 was called, Time spended: 0.0
Time: 1589956837.78808 myfunc4 was called, Time spended: 0.0
Time: 1589956932.548902 myfunc1 was called, Time spended: 0.0
Time: 1589956932.5499005 myfunc3 was called, Time spended: 0.0
Time: 1589956932.5508971 myfunc4 was called, Time spended: 0.0
Time: 1589959616.6574032 myfunc1 was called, Time spended: 0.0
Time: 1589959616.6593983 myfunc3 was called, Time spended: 0.0
Time: 1589959616.6593983 myfunc4 was called, Time spended: 0.0
Time: 1589973737.794911 myfunc1 was called, Time spended: 0.0
Time: 1589973737.7968671 myfunc3 was called, Time spended: 0.0
Time: 1589973737.7968671 myfunc4 was called, Time spended: 0.0
Time: 1589973781.5052326 myfunc1 was called, Time spended: 0.0
Time: 1589973781.5061955 myfunc3 was called, Time spended: 0.0
Time: 1589973781.5061955 myfunc4 was called, Time spended: 0.0
Time: 1589974161.43275 myfunc1 was called, Time spended: 0.0
Time: 1589974161.4337478 myfunc3 was called, Time spended: 0.0
Time: 1589974161.4337478 myfunc4 was called, Time spended: 0.0
Time: 1589974174.7759564 myfunc1 was called, Time spended: 0.0
Time: 1589974174.776921 myfunc3 was called, Time spended: 0.0
Time: 1589974174.777917 myfunc4 was called, Time spended: 0.0
Time: 1590029415.8381698 myfunc1 was called, Time spended: 0.0
Time: 1590029415.8391676 myfunc3 was called, Time spended: 0.0
Time: 1590029415.8401754 myfunc4 was called, Time spended: 0.0
Time: 1590029490.0319977 myfunc1 was called, Time spended: 0.0
Time: 1590029490.0329542 myfunc3 was called, Time spended: 0.0
Time: 1590029490.0339534 myfunc4 was called, Time spended: 0.0
Time: 1590029498.658636 myfunc1 was called, Time spended: 0.0
Time: 1590029498.6596365 myfunc3 was called, Time spended: 0.0
Time: 1590029498.6606 myfunc4 was called, Time spended: 0.0
Time: 1590029511.7930307 myfunc1 was called, Time spended: 0.0
Time: 1590029511.7940297 myfunc3 was called, Time spended: 0.0
Time: 1590029511.7940297 myfunc4 was called, Time spended: 0.0
Time: 1590029760.2876515 myfunc1 was called, Time spended: 0.0
Time: 1590029760.2886512 myfunc3 was called, Time spended: 0.0
Time: 1590029760.2896104 myfunc4 was called, Time spended: 0.0
Time: 1590029801.4638681 myfunc1 was called, Time spended: 0.0
Time: 1590029801.4648662 myfunc3 was called, Time spended: 0.0
Time: 1590029801.4658244 myfunc4 was called, Time spended: 0.0
