Time: 1589949193.0109723 myfunc2 was called, Time spended: 0.0
Time: 1589955558.7220876 myfunc2 was called, Time spended: 0.0
Time: 1589955566.0426686 myfunc2 was called, Time spended: 0.0
Time: 1589955602.9731483 myfunc2 was called, Time spended: 0.0
Time: 1589955831.0945425 myfunc2 was called, Time spended: 0.0
Time: 1589955868.3189292 myfunc2 was called, Time spended: 0.0
Time: 1589956691.1993816 myfunc2 was called, Time spended: 0.0
Time: 1589956727.9450128 myfunc2 was called, Time spended: 0.0
Time: 1589956807.4140136 myfunc2 was called, Time spended: 0.0
Time: 1589956837.787083 myfunc2 was called, Time spended: 0.0
Time: 1589956932.5499005 myfunc2 was called, Time spended: 0.0
Time: 1589959616.6584005 myfunc2 was called, Time spended: 0.0
Time: 1589973737.7959077 myfunc2 was called, Time spended: 0.0
Time: 1589973781.5052326 myfunc2 was called, Time spended: 0.0
